county,pop
"Belmont County, Ohio","67,006"
"Rice County, Minnesota","66,972"
"Butler County, Kansas","66,911"
"Jefferson County, Arkansas","66,824"
"Oldham County, Kentucky","66,799"
"Mason County, Washington","66,768"
"San Patricio County, Texas","66,730"
"Spalding County, Georgia","66,703"
"Marquette County, Michigan","66,699"
"Darlington County, South Carolina","66,618"
"Williamson County, Illinois","66,597"
"Harrison County, Texas","66,553"
"Kershaw County, South Carolina","66,551"
"Wayne County, Indiana","65,884"
"Grant County, Indiana","65,769"
"Adams County, Illinois","65,435"
"McCracken County, Kentucky","65,418"
"Athens County, Ohio","65,327"
"Jefferson County, Ohio","65,325"
"Nacogdoches County, Texas","65,204"
"Marion County, Ohio","65,093"
"Tehama County, California","65,084"
"Crow Wing County, Minnesota","65,055"
"Pulaski County, Kentucky","64,979"
"Columbia County, Pennsylvania","64,964"
"Hamblen County, Tennessee","64,934"
"Armstrong County, Pennsylvania","64,735"
"Ionia County, Michigan","64,697"
"Chippewa County, Wisconsin","64,658"
"Starr County, Texas","64,633"
"Chaves County, New Mexico","64,615"
"Coos County, Oregon","64,487"
"Sauk County, Wisconsin","64,442"
"Lake County, California","64,386"
"Effingham County, Georgia","64,296"
"Clay County, Minnesota","64,222"
"Carbon County, Pennsylvania","64,182"
"Pope County, Arkansas","64,072"
"Warren County, New York","63,944"
"Montcalm County, Michigan","63,888"
"Sampson County, North Carolina","63,531"
"Walker County, Alabama","63,521"
"Lamar County, Mississippi","63,343"
"Crawford County, Arkansas","63,257"
"Pender County, North Carolina","63,060"
"Warrick County, Indiana","62,998"
"Livingston County, New York","62,914"
"San Benito County, California","62,808"
"Stanly County, North Carolina","62,806"
"Georgetown County, South Carolina","62,680"
"Salem County, New Jersey","62,385"
"Knox County, Ohio","62,322"
"Haywood County, North Carolina","62,317"
"Acadia Parish, Louisiana","62,045"
"Reno County, Kansas","61,998"
"Lee County, North Carolina","61,779"
"Hood County, Texas","61,643"
"Tipton County, Tennessee","61,599"
"Barry County, Michigan","61,550"
"Liberty County, Georgia","61,435"
"Hall County, Nebraska","61,353"
"Herkimer County, New York","61,319"
"Belknap County, New Hampshire","61,303"
"Washington County, New York","61,204"
"Lincoln County, South Dakota","61,128"
"Garfield County, Oklahoma","61,056"
"St. Joseph County, Michigan","60,964"
"Laurel County, Kentucky","60,813"
"Walla Walla County, Washington","60,760"
"Cumberland County, Tennessee","60,520"
"Granville County, North Carolina","60,443"
"Pittsylvania County, Virginia","60,354"
"Bradford County, Pennsylvania","60,323"
"Garfield County, Colorado","60,061"
"Washington County, Ohio","59,911"
"Vermilion Parish, Louisiana","59,511"
"Otsego County, New York","59,493"
"Lawrence County, Ohio","59,463"
"Columbia County, New York","59,461"
"Lincoln County, Missouri","59,013"
"Union County, Ohio","58,988"
"Mercer County, West Virginia","58,758"
"Otter Tail County, Minnesota","58,746"
"Duplin County, North Carolina","58,741"
"Maverick County, Texas","58,722"
"Kenai Peninsula Borough, Alaska","58,708"
"Lowndes County, Mississippi","58,595"
"Sandusky County, Ohio","58,518"
"Eddy County, New Mexico","58,460"
"Pickaway County, Ohio","58,457"
"Washington County, Vermont","58,409"
"Huron County, Ohio","58,266"
"Newton County, Missouri","58,236"
"Rutland County, Vermont","58,191"
"Oxford County, Maine","57,975"
"Gordon County, Georgia","57,963"
"Russell County, Alabama","57,961"
"Pike County, Kentucky","57,876"
"Blount County, Alabama","57,826"
"Anderson County, Texas","57,735"
"Hardin County, Texas","57,602"
"Columbia County, Wisconsin","57,532"
"Lyon County, Nevada","57,510"
"Cherokee County, South Carolina","57,300"
"Genesee County, New York","57,280"
"Jefferson County, West Virginia","57,146"
"Scott County, Kentucky","57,004"
"Hawkins County, Tennessee","56,786"
"Jackson County, Illinois","56,750"
"Van Zandt County, Texas","56,590"
"Chisago County, Minnesota","56,579"
"Coffee County, Tennessee","56,520"
"Putnam County, West Virginia","56,450"
"Carter County, Tennessee","56,391"
"La Plata County, Colorado","56,221"
"Watauga County, North Carolina","56,177"
"Marion County, West Virginia","56,072"
"Box Elder County, Utah","56,046"
"Franklin County, Virginia","56,042"
"Lenoir County, North Carolina","55,949"
"Taney County, Missouri","55,928"
"Carson City, Nevada","55,916"
"Autauga County, Alabama","55,869"
"Grady County, Oklahoma","55,834"
"Pike County, Pennsylvania","55,809"
"Pearl River County, Mississippi","55,535"
"Columbus County, North Carolina","55,508"
"Waller County, Texas","55,246"
"Colbert County, Alabama","55,241"
"Hoke County, North Carolina","55,234"
"Seneca County, Ohio","55,178"
"Whiteside County, Illinois","55,175"
"Eagle County, Colorado","55,127"
"Windsor County, Vermont","55,062"
"Hancock County, Maine","54,987"
"Campbell County, Virginia","54,885"
"Iron County, Utah","54,839"
"Camden County, Georgia","54,666"
"Jefferson County, Tennessee","54,495"
"Tuolumne County, California","54,478"
"Rusk County, Texas","54,406"
"Saline County, Kansas","54,224"
"Jessamine County, Kentucky","54,115"
"Loudon County, Tennessee","54,068"
"Johnson County, Missouri","54,062"
"Lafayette County, Mississippi","54,019"
"Gila County, Arizona","54,018"
"Dickson County, Tennessee","53,948"
"McMinn County, Tennessee","53,794"
"Washington County, Virginia","53,740"
"Boone County, Illinois","53,544"
"Ashland County, Ohio","53,484"
"St. Martin Parish, Louisiana","53,431"
"Fulton County, New York","53,383"
"Roane County, Tennessee","53,382"
"St. Charles Parish, Louisiana","53,100"
"Harrisonburg city, Virginia","53,016"
"Elko County, Nevada","52,778"
"Cherokee County, Texas","52,646"
"Pulaski County, Missouri","52,607"
"Culpeper County, Virginia","52,605"
"Kerr County, Texas","52,600"
"Columbia County, Oregon","52,354"
"Coffee County, Alabama","52,342"
"Worcester County, Maryland","52,276"
"Tuscola County, Michigan","52,245"
"Cass County, Michigan","51,787"
"Jackson County, Alabama","51,626"
"Medina County, Texas","51,584"
"Washington County, Oklahoma","51,527"
"Edgecombe County, North Carolina","51,472"
"Warren County, Iowa","51,466"
"Grant County, Wisconsin","51,439"
"Wayne County, Pennsylvania","51,361"
"Polk County, Texas","51,353"
"Atascosa County, Texas","51,153"
"Darke County, Ohio","51,113"
"Wilson County, Texas","51,070"
"Grundy County, Illinois","51,054"
"Franklin County, Kentucky","50,991"
"Waupaca County, Wisconsin","50,990"
"Venango County, Pennsylvania","50,668"
"Ogle County, Illinois","50,643"
"Coles County, Illinois","50,621"
"Henry County, Virginia","50,557"
"Somerset County, Maine","50,484"
"Winona County, Minnesota","50,484"
"Queen Anne's County, Maryland","50,381"
"Navarro County, Texas","50,113"
"Whitman County, Washington","50,104"
"Calumet County, Wisconsin","50,089"
"Franklin County, New York","50,022"
"Halifax County, North Carolina","50,010"
"Lincoln County, Oregon","49,962"
"Lamar County, Texas","49,859"
"Le Flore County, Oklahoma","49,853"
"Bedford County, Tennessee","49,713"
"Knox County, Illinois","49,699"
"Buffalo County, Nebraska","49,659"
"Oktibbeha County, Mississippi","49,587"
"Dearborn County, Indiana","49,458"
"Franklin County, Vermont","49,402"
"St. Mary Parish, Louisiana","49,348"
"Montgomery County, New York","49,221"
"Dale County, Alabama","49,172"
"Gibson County, Tennessee","49,133"
"Val Verde County, Texas","49,025"
"Shelby County, Kentucky","49,024"
"Newaygo County, Michigan","48,980"
"Curry County, New Mexico","48,954"
"Henry County, Illinois","48,913"
"Carroll County, New Hampshire","48,910"
"Douglas County, Nevada","48,905"
"Cherokee County, Oklahoma","48,657"
"Shelby County, Ohio","48,590"
"Bristol County, Rhode Island","48,479"
"Tioga County, New York","48,203"
"Burnet County, Texas","48,155"
"Carter County, Oklahoma","48,111"
"Logan County, Oklahoma","48,011"
"Bryan County, Oklahoma","47,995"
"Henry County, Indiana","47,972"
"Crittenden County, Arkansas","47,955"
"Kittitas County, Washington","47,935"
"Bedford County, Pennsylvania","47,888"
"Fremont County, Colorado","47,839"
"Noble County, Indiana","47,744"
"Hancock County, Mississippi","47,632"
"Cortland County, New York","47,581"
"Laurens County, Georgia","47,546"
"Kendall County, Texas","47,431"
"Vernon Parish, Louisiana","47,429"
"Charlottesville city, Virginia","47,266"
"St. Bernard Parish, Louisiana","47,244"
"Chenango County, New York","47,207"
"Beltrami County, Minnesota","47,188"
"Greene County, New York","47,188"
"Beaufort County, North Carolina","46,994"
"Osage County, Oklahoma","46,963"
"Bingham County, Idaho","46,811"
"Lincoln Parish, Louisiana","46,742"
"Boyd County, Kentucky","46,718"
"Monroe County, Tennessee","46,545"
"Nye County, Nevada","46,523"
"Santa Cruz County, Arizona","46,498"
"Clinton County, Iowa","46,429"
"Jackson County, Florida","46,414"
"Campbell County, Wyoming","46,341"
"Goodhue County, Minnesota","46,340"
"Camden County, Missouri","46,305"
"Perry County, Pennsylvania","46,272"
"Marshall County, Indiana","46,258"
"Monroe County, Wisconsin","46,253"
"Nelson County, Kentucky","46,233"
"Washington Parish, Louisiana","46,194"
"Mifflin County, Pennsylvania","46,138"
"Allegany County, New York","46,091"
"Calaveras County, California","45,905"
"McDowell County, North Carolina","45,756"
"Bonner County, Idaho","45,739"
"Stevens County, Washington","45,723"
"Logan County, Ohio","45,672"
"Gadsden County, Florida","45,660"
"Auglaize County, Ohio","45,656"
"Chesterfield County, South Carolina","45,650"
"Hillsdale County, Michigan","45,605"
"Colquitt County, Georgia","45,600"
"Stokes County, North Carolina","45,591"
"Wood County, Texas","45,539"
"Warren County, Mississippi","45,381"
"Lawrence County, Indiana","45,370"
"Dunn County, Wisconsin","45,368"
"Habersham County, Georgia","45,328"
"Greene County, Arkansas","45,325"
"Barron County, Wisconsin","45,244"
"Henderson County, Kentucky","45,210"
"Huntingdon County, Pennsylvania","45,144"
"Itasca County, Minnesota","45,130"
"Macoupin County, Illinois","44,926"
"Union County, Pennsylvania","44,923"
"Baldwin County, Georgia","44,890"
"Richmond County, North Carolina","44,829"
"Callaway County, Missouri","44,743"
"Madison County, Ohio","44,731"
"Shelby County, Indiana","44,729"
"Hopkins County, Kentucky","44,686"
"Phelps County, Missouri","44,573"
"Vance County, North Carolina","44,535"
"Stephenson County, Illinois","44,498"
"Thomas County, Georgia","44,451"
"Chilton County, Alabama","44,428"
"Suwannee County, Florida","44,417"
"Barren County, Kentucky","44,249"
"Jackson County, Indiana","44,231"
"Lawrence County, Tennessee","44,142"
"Delaware County, New York","44,135"
"Holmes County, Ohio","43,960"
"Jackson County, North Carolina","43,938"
"Washington County, Mississippi","43,909"
"Chambers County, Texas","43,837"
"Ravalli County, Montana","43,806"
"Polk County, Wisconsin","43,783"
"Caldwell County, Texas","43,664"
"Pittsburg County, Oklahoma","43,654"
"Shenandoah County, Virginia","43,616"
"Siskiyou County, California","43,539"
"Kay County, Oklahoma","43,538"
"Branch County, Michigan","43,517"
"DeKalb County, Indiana","43,475"
"Mecosta County, Michigan","43,453"
"Brown County, Ohio","43,432"
"Douglas County, Washington","43,429"
"Jefferson County, Pennsylvania","43,425"
"Coffee County, Georgia","43,273"
"Miller County, Arkansas","43,257"
"Kandiyohi County, Minnesota","43,199"
"Highland County, Ohio","43,161"
"Douglas County, Wisconsin","43,150"
"Sullivan County, New Hampshire","43,146"
"Stephens County, Oklahoma","43,143"
"Delaware County, Oklahoma","43,009"
"Davie County, North Carolina","42,846"
"St. John the Baptist Parish, Louisiana","42,837"
"Montrose County, Colorado","42,758"
"Pierce County, Wisconsin","42,754"
"Dubois County, Indiana","42,736"
"Erath County, Texas","42,698"
"Muscatine County, Iowa","42,664"
"Polk County, Georgia","42,613"
"Butler County, Missouri","42,478"
"Cerro Gordo County, Iowa","42,450"
"Fayette County, West Virginia","42,406"
"Sweetwater County, Wyoming","42,343"
"Pettis County, Missouri","42,339"
"Okanogan County, Washington","42,243"
"Windham County, Vermont","42,222"
"Franklin County, Tennessee","42,208"
"Okeechobee County, Florida","42,168"
"Summit County, Utah","42,145"
"Fulton County, Ohio","42,126"
"Hendry County, Florida","42,022"
"Clinton County, Ohio","41,968"
"Baxter County, Arkansas","41,932"
"Upshur County, Texas","41,753"
"Sequoyah County, Oklahoma","41,569"
"Wharton County, Texas","41,556"
"Levy County, Florida","41,503"
"Crawford County, Ohio","41,494"
"Ohio County, West Virginia","41,411"
"Warren County, Tennessee","41,277"
"Cooke County, Texas","41,257"
"Mercer County, Ohio","41,172"
"Sanilac County, Michigan","41,170"
"Fayette County, Tennessee","41,133"
"Mayes County, Oklahoma","41,100"
"Manassas city, Virginia","41,085"
"Shawano County, Wisconsin","40,899"
"Benton County, Minnesota","40,889"
"Preble County, Ohio","40,882"
"Gratiot County, Michigan","40,711"
"Cheatham County, Tennessee","40,667"
"Mississippi County, Arkansas","40,651"
"Tift County, Georgia","40,644"
"McKean County, Pennsylvania","40,625"
"Isanti County, Minnesota","40,596"
"Tazewell County, Virginia","40,595"
"Tioga County, Pennsylvania","40,591"
"Ottawa County, Ohio","40,525"
"Harrison County, Indiana","40,515"
"Jim Wells County, Texas","40,482"
"McClain County, Oklahoma","40,474"
"Nez Perce County, Idaho","40,408"
"Snyder County, Pennsylvania","40,372"
"Tallapoosa County, Alabama","40,367"
"Orleans County, New York","40,352"
"Marinette County, Wisconsin","40,350"
"Susquehanna County, Pennsylvania","40,328"
"Oconee County, Georgia","40,280"
"Clatsop County, Oregon","40,224"
"Warren County, Virginia","40,164"
"Avoyelles Parish, Louisiana","40,144"
"Howell County, Missouri","40,117"
"Latah County, Idaho","40,108"
"Murray County, Georgia","40,096"
"Mower County, Minnesota","40,062"
"Danville city, Virginia","40,044"
"Madison County, Idaho","39,907"
"Wyoming County, New York","39,859"
"Campbell County, Tennessee","39,842"
"Pasquotank County, North Carolina","39,824"
"Knox County, Maine","39,772"
"Amador County, California","39,752"
"Waldo County, Maine","39,715"
"Bryan County, Georgia","39,627"
"LaGrange County, Indiana","39,614"
"Webster County, Missouri","39,592"
"Person County, North Carolina","39,490"
"Wayne County, West Virginia","39,402"
"Marshall County, Iowa","39,369"
"Pike County, Mississippi","39,288"
"Fremont County, Wyoming","39,261"
"Warren County, Pennsylvania","39,191"
"Calloway County, Kentucky","39,001"
"Des Moines County, Iowa","38,967"
"Rio Arriba County, New Mexico","38,921"
"Champaign County, Ohio","38,885"
"Albany County, Wyoming","38,880"
"Guernsey County, Ohio","38,875"
"Brown County, South Dakota","38,839"
"Graham County, Arizona","38,837"
"Crawford County, Kansas","38,818"
"Union County, Arkansas","38,682"
"Clinton County, Pennsylvania","38,632"
"Franklin County, Illinois","38,469"
"Okmulgee County, Oklahoma","38,465"
"Woodford County, Illinois","38,459"
"Newberry County, South Carolina","38,440"
"Clarion County, Pennsylvania","38,438"
"Lawrence County, Missouri","38,355"
"Prince George County, Virginia","38,353"
"Webster Parish, Louisiana","38,340"
"Montgomery County, Indiana","38,338"
"Pontotoc County, Oklahoma","38,284"
"Scott County, Missouri","38,280"
"Natchitoches Parish, Louisiana","38,158"
"Douglas County, Minnesota","38,141"
"Defiance County, Ohio","38,087"
"DeSoto County, Florida","38,001"
"Oconto County, Wisconsin","37,930"
"Brown County, Texas","37,864"
"Independence County, Arkansas","37,825"
"Cass County, Indiana","37,689"
"Jefferson County, Illinois","37,684"
"Colleton County, South Carolina","37,677"
"Yadkin County, North Carolina","37,667"
"Louisa County, Virginia","37,591"
"Williams County, North Dakota","37,589"
"Putnam County, Indiana","37,576"
"Clinton County, Illinois","37,562"
"Beauregard Parish, Louisiana","37,497"
"Alexander County, North Carolina","37,497"
"Boone County, Arkansas","37,432"
"Wise County, Virginia","37,383"
"Chippewa County, Michigan","37,349"
"Gloucester County, Virginia","37,348"
"Graves County, Kentucky","37,266"
"Marion County, Illinois","37,205"
"Dallas County, Alabama","37,196"
"Jasper County, Iowa","37,185"
"Talbot County, Maryland","37,181"
"Dyer County, Tennessee","37,159"
"Isle of Wight County, Virginia","37,109"
"Hopkins County, Texas","37,084"
"Orange County, Virginia","37,051"
"Covington County, Alabama","37,049"
"Dare County, North Carolina","37,009"
"Green County, Wisconsin","36,960"
"Alcorn County, Mississippi","36,953"
"Essex County, New York","36,885"
"Addison County, Vermont","36,777"
"Williams County, Ohio","36,692"
"Howard County, Texas","36,664"
"Steele County, Minnesota","36,649"
"Hill County, Texas","36,649"
"Matagorda County, Texas","36,643"
"Escambia County, Alabama","36,633"
"Coshocton County, Ohio","36,600"
"Knox County, Indiana","36,594"
"Dodge County, Nebraska","36,565"
"Huntington County, Indiana","36,520"
"Finney County, Kansas","36,467"
"Whitley County, Kentucky","36,264"
"Clark County, Kentucky","36,263"
"Greene County, Pennsylvania","36,233"
"Perry County, Ohio","36,134"
"Cocke County, Tennessee","36,004"
"Webster County, Iowa","35,904"
"McLeod County, Minnesota","35,893"
"Washington County, Texas","35,882"
"Carlton County, Minnesota","35,871"
"Macon County, North Carolina","35,858"
"Sagadahoc County, Maine","35,856"
"Barry County, Missouri","35,789"
"Delta County, Michigan","35,784"
"Adams County, Indiana","35,777"
"Ware County, Georgia","35,734"
"Uintah County, Utah","35,734"
"Laclede County, Missouri","35,723"
"Houghton County, Michigan","35,684"
"Warren County, Missouri","35,649"
"Livingston County, Illinois","35,648"
"Scotts Bluff County, Nebraska","35,618"
"Oneida County, Wisconsin","35,595"
"Floyd County, Kentucky","35,589"
"Jasper County, Texas","35,529"
"Miami County, Indiana","35,516"
"Fannin County, Texas","35,514"
"Bennington County, Vermont","35,470"
"Morrow County, Ohio","35,328"
"Marshall County, Mississippi","35,294"
"Monroe County, Mississippi","35,252"
"Harris County, Georgia","35,236"
"Madison County, Nebraska","35,099"
"Greenup County, Kentucky","35,098"
"Brookings County, South Dakota","35,077"
"Wapello County, Iowa","34,969"
"Silver Bow County, Montana","34,915"
"Lincoln County, Nebraska","34,914"
"Cowley County, Kansas","34,908"
"Lincoln County, Oklahoma","34,877"
"Sioux County, Iowa","34,855"
"Scotland County, North Carolina","34,823"
"Clark County, Wisconsin","34,774"
"Greenbrier County, West Virginia","34,662"
"Monroe County, Illinois","34,637"
"Lincoln County, Maine","34,634"
"Steuben County, Indiana","34,594"
"Harvey County, Kansas","34,429"
"Becker County, Minnesota","34,423"
"Transylvania County, North Carolina","34,385"
"Marshall County, Tennessee","34,375"
"Lincoln County, Tennessee","34,366"
"Fulton County, Illinois","34,340"
"Nicollet County, Minnesota","34,274"
"Miami County, Kansas","34,237"
"Panola County, Mississippi","34,192"
"Lincoln County, Mississippi","34,153"
"Lee County, Illinois","34,096"
"Wasatch County, Utah","34,091"
"Pulaski County, Virginia","34,027"
"Seneca County, New York","34,016"
"Effingham County, Illinois","34,008"
"Whitley County, Indiana","33,964"
"Halifax County, Virginia","33,911"
"Putnam County, Ohio","33,861"
"Hot Spring County, Arkansas","33,771"
"Clarendon County, South Carolina","33,745"
"Wakulla County, Florida","33,739"
"Gibson County, Indiana","33,659"
"Morgan County, Illinois","33,658"
"Lee County, Iowa","33,657"
"Wexford County, Michigan","33,631"
"Ford County, Kansas","33,619"
"Lumpkin County, Georgia","33,610"
"Jasper County, Indiana","33,562"
"Platte County, Nebraska","33,470"
"Preston County, West Virginia","33,432"
"Botetourt County, Virginia","33,419"
"Emmet County, Michigan","33,415"
"Caroline County, Maryland","33,406"
"Hale County, Texas","33,406"
"Evangeline Parish, Louisiana","33,395"
"Morrison County, Minnesota","33,386"
"Daviess County, Indiana","33,351"
"Weakley County, Tennessee","33,328"
"Chambers County, Alabama","33,254"
"Marion County, Iowa","33,253"
"Lyon County, Kansas","33,195"
"Rhea County, Tennessee","33,167"
"Pike County, Alabama","33,114"
"Lawrence County, Alabama","32,924"
"McCurtain County, Oklahoma","32,832"
"Titus County, Texas","32,750"
"Taos County, New Mexico","32,723"
"Bladen County, North Carolina","32,722"
"Lafayette County, Missouri","32,708"
"Bureau County, Illinois","32,628"
"Pickens County, Georgia","32,591"
"Bee County, Texas","32,565"
"Iberville Parish, Louisiana","32,511"
"Jackson County, Ohio","32,413"
"Clinton County, Indiana","32,399"
"Henry County, Tennessee","32,345"
"Accomack County, Virginia","32,316"
"Jefferson County, Indiana","32,308"
"Christian County, Illinois","32,304"
"Chester County, South Carolina","32,244"
"Jefferson County, Washington","32,221"
"Pontotoc County, Mississippi","32,174"
"Polk County, Missouri","32,149"
"Logan County, West Virginia","32,019"
"Juneau City and Borough, Alaska","31,974"
"Claiborne County, Tennessee","31,959"
"Stone County, Missouri","31,952"
"Dorchester County, Maryland","31,929"
"Greene County, Indiana","31,922"
"Montgomery County, Kansas","31,829"
"Randolph County, Illinois","31,782"
"Geary County, Kansas","31,670"
"Amherst County, Virginia","31,605"
"Coos County, New Hampshire","31,563"
"Stark County, North Dakota","31,489"
"Washington County, Maine","31,379"
"Gilmer County, Georgia","31,369"
"Jefferson Davis Parish, Louisiana","31,368"
"Hardin County, Ohio","31,365"
"Polk County, Minnesota","31,364"
"Morton County, North Dakota","31,364"
"Adams County, Nebraska","31,363"
"Franklin County, Alabama","31,362"
"Petersburg city, Virginia","31,346"
"Delta County, Colorado","31,162"
"Knox County, Kentucky","31,145"
"Ottawa County, Oklahoma","31,127"
"Marshall County, Kentucky","31,100"
"Summit County, Colorado","31,011"
"Schoharie County, New York","30,999"
"Wabash County, Indiana","30,996"
"Huron County, Michigan","30,981"
"Clare County, Michigan","30,950"
"Sanpete County, Utah","30,939"
"Vernon County, Wisconsin","30,822"
"White County, Georgia","30,798"
"Caroline County, Virginia","30,725"
"Adams County, Mississippi","30,693"
"Kleberg County, Texas","30,680"
"Marion County, South Carolina","30,657"
"Bolivar County, Mississippi","30,628"
"Muhlenberg County, Kentucky","30,622"
"Mecklenburg County, Virginia","30,587"
"Lassen County, California","30,573"
"Malheur County, Oregon","30,571"
"Marshall County, West Virginia","30,531"
"Sheridan County, Wyoming","30,485"
"Dillon County, South Carolina","30,479"
"Lake County, Montana","30,458"
"Williamsburg County, South Carolina","30,368"
"Freeborn County, Minnesota","30,281"
"Franklin County, Maine","30,199"
"Smyth County, Virginia","30,104"
"Jasper County, South Carolina","30,073"
"Obion County, Tennessee","30,069"
"Boyle County, Kentucky","30,060"
"Austin County, Texas","30,032"
"Cass County, Texas","30,026"
"Caledonia County, Vermont","29,993"
"Lee County, Georgia","29,992"
"Wayne County, Georgia","29,927"
"Elk County, Pennsylvania","29,910"
"Gallia County, Ohio","29,898"
"Madison County, Georgia","29,880"
"Jefferson County, Idaho","29,871"
"Haralson County, Georgia","29,792"
"Carroll County, Virginia","29,791"
"Cass County, Minnesota","29,779"
"Marion County, Alabama","29,709"
"Yazoo County, Mississippi","29,690"
"McDonough County, Illinois","29,682"
"Powhatan County, Virginia","29,652"
"Trempealeau County, Wisconsin","29,649"
"Pine County, Minnesota","29,579"
"Sumter County, Georgia","29,524"
"Giles County, Tennessee","29,464"
"Baker County, Florida","29,210"
"Park County, Wyoming","29,194"
"Palo Pinto County, Texas","29,189"
"Mason County, Michigan","29,144"
"Dunklin County, Missouri","29,131"
"Neshoba County, Mississippi","29,118"
"Morgan County, Colorado","29,068"
"Fredericksburg city, Virginia","29,036"
"Stoddard County, Missouri","29,025"
"Garrett County, Maryland","29,014"
"Custer County, Oklahoma","29,003"
"Marion County, Tennessee","28,907"
"Orange County, Vermont","28,892"
"Le Sueur County, Minnesota","28,887"
"Grimes County, Texas","28,880"
"San Jacinto County, Texas","28,859"
"Union County, Mississippi","28,815"
"Hancock County, West Virginia","28,810"
"Caddo County, Oklahoma","28,762"
"Jones County, Georgia","28,735"
"Randolph County, West Virginia","28,695"
"Wythe County, Virginia","28,684"
"Logan County, Illinois","28,618"
"Cherokee County, North Carolina","28,612"
"Jackson County, West Virginia","28,576"
"Meade County, Kentucky","28,572"
"Ellis County, Kansas","28,553"
"Dinwiddie County, Virginia","28,544"
"McPherson County, Kansas","28,542"
"Marion County, Missouri","28,530"
"Fayette County, Ohio","28,525"
"Montgomery County, Illinois","28,414"
"Alpena County, Michigan","28,405"
"Glenn County, California","28,393"
"Carroll County, Arkansas","28,380"
"Meade County, South Dakota","28,332"
"Ripley County, Indiana","28,324"
"Tate County, Mississippi","28,321"
"Wells County, Indiana","28,296"
"Van Wert County, Ohio","28,275"
"Hocking County, Ohio","28,264"
"Bradford County, Florida","28,201"
"Leflore County, Mississippi","28,183"
"Montgomery County, Kentucky","28,157"
"Scott County, Mississippi","28,124"
"Henderson County, Tennessee","28,117"
"Winchester city, Virginia","28,078"
"Copiah County, Mississippi","28,065"
"Washington County, Indiana","28,036"
"Codington County, South Dakota","28,009"
"Del Norte County, California","27,812"
"Pike County, Ohio","27,772"
"Carroll County, Tennessee","27,767"
"Currituck County, North Carolina","27,763"
"Jennings County, Indiana","27,735"
"Garvin County, Oklahoma","27,711"
"Adams County, Ohio","27,698"
"Door County, Wisconsin","27,668"
"Lincoln County, Wisconsin","27,593"
"Monroe County, Georgia","27,578"
"Peach County, Georgia","27,546"
"Elmore County, Idaho","27,511"
"De Soto Parish, Louisiana","27,463"
"White County, Tennessee","27,345"
"Union County, South Carolina","27,316"
"San Miguel County, New Mexico","27,277"
"Fluvanna County, Virginia","27,270"
"Edgefield County, South Carolina","27,260"
"Ashe County, North Carolina","27,203"
"Montgomery County, North Carolina","27,173"
"Iroquois County, Illinois","27,114"
"Logan County, Kentucky","27,102"
"Orleans County, Vermont","27,037"
"Tillamook County, Oregon","27,036"
"Henry County, Ohio","27,006"
"Grant County, New Mexico","26,998"
"Gillespie County, Texas","26,988"
"Hardee County, Florida","26,937"
"Carroll County, Ohio","26,914"
"Mineral County, West Virginia","26,868"
"King George County, Virginia","26,836"
"Union County, Oregon","26,835"
"Toombs County, Georgia","26,830"
"Carter County, Kentucky","26,797"
"Wyoming County, Pennsylvania","26,794"
"Uvalde County, Texas","26,741"
"Woodford County, Kentucky","26,734"
"Elbert County, Colorado","26,729"
"Juneau County, Wisconsin","26,687"
"Wasco County, Oregon","26,682"
"Cibola County, New Mexico","26,675"
"Simpson County, Mississippi","26,658"
"Russell County, Virginia","26,586"
"Johnson County, Arkansas","26,578"
"Decatur County, Indiana","26,559"
"Mason County, West Virginia","26,516"
"Oceana County, Michigan","26,467"
"West Baton Rouge Parish, Louisiana","26,465"
"Grayson County, Kentucky","26,427"
"Decatur County, Georgia","26,404"
"Upson County, Georgia","26,320"
"Lewis County, New York","26,296"
"Mille Lacs County, Minnesota","26,277"
"Geneva County, Alabama","26,271"
"Cass County, Nebraska","26,248"
"Boone County, Iowa","26,234"
"Clay County, Indiana","26,225"
"Hart County, Georgia","26,205"
"Cherokee County, Alabama","26,196"
"Fannin County, Georgia","26,188"
"Montezuma County, Colorado","26,183"
"Charlevoix County, Michigan","26,143"
"Marlboro County, South Carolina","26,118"
"Dawson County, Georgia","26,108"
"Bell County, Kentucky","26,032"
"Harlan County, Kentucky","26,010"
"Stephens County, Georgia","25,925"
"Lawrence County, South Dakota","25,844"
"Barton County, Kansas","25,779"
"Taylor County, Kentucky","25,769"
"Perry County, Kentucky","25,758"
"McNairy County, Tennessee","25,694"
"Hardin County, Tennessee","25,652"
"Benton County, Iowa","25,645"
"Routt County, Colorado","25,638"
"Lauderdale County, Tennessee","25,633"
"Allen Parish, Louisiana","25,627"
"Miller County, Missouri","25,619"
"Somerset County, Maryland","25,616"
"Franklin County, Kansas","25,544"
"Lyon County, Minnesota","25,474"
"Washington County, Florida","25,473"
"Gladwin County, Michigan","25,449"
"Posey County, Indiana","25,427"
"Texas County, Missouri","25,398"
"Teller County, Colorado","25,388"
"Audrain County, Missouri","25,388"
"Lamoille County, Vermont","25,362"
"Fayette County, Texas","25,346"
"Adair County, Missouri","25,343"
"Salem city, Virginia","25,301"
"Tattnall County, Georgia","25,286"
"Cheboygan County, Michigan","25,276"
"Shelby County, Texas","25,274"
"Dickinson County, Michigan","25,239"
"Hickman County, Tennessee","25,178"
"Plymouth County, Iowa","25,177"
"Iosco County, Michigan","25,127"
"Prentiss County, Mississippi","25,126"
